customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
82,Brooke Ortiz,ocarter@example.com,MA,2021-06-09,Premium,519.7
83,Andrea Hall,kristin93@example.com,CI,2021-09-11,Standard,4098.51
84,Susan Serrano,brownlaura@example.net,AE,2023-04-08,Basic,3852.59
85,Jessica Harrison,holly48@example.net,SA,2024-12-10,Premium,3332.78
86,Stacy Navarro,anthony39@example.net,AO,2022-08-17,Basic,909.12
87,Debra Williams,thomaspearson@example.com,EG,2025-12-30,Basic,4374.92
88,Robert Costa,vbailey@example.com,SV,2025-12-24,Standard,4825.38
89,Jason Simpson,jcervantes@example.org,PH,2020-08-17,Basic,3800.8
90,Brian Barton,sandovalamy@example.com,BF,2020-07-11,Basic,1085.64
91,Peter Garrett,harrisandrea@example.com,OM,2021-02-14,Standard,2055.06
92,Mr. Mark Lloyd,lancesmith@example.com,BW,2025-04-13,Basic,3284.4
93,Ashley Valentine,tyronemoran@example.net,MA,2021-05-07,Standard,4508.11
94,Veronica Sanchez,patrickweeks@example.net,AE,2021-08-22,Standard,692.92
95,Desiree Tyler,ymorgan@example.net,IQ,2025-04-10,Premium,413.73
96,Edwin Matthews,cgrimes@example.net,RO,2024-12-02,Premium,2982.71
97,Kimberly Gibson,molly39@example.com,HT,2022-01-26,Premium,2983.36
98,Evan Kennedy,qhughes@example.net,CZ,2025-02-18,Premium,447.87
99,Jonathan Lawrence,sawyerscott@example.net,PH,2022-12-21,Basic,388.48
100,Seth Booker,harrisontanya@example.com,VU,2020-02-03,Premium,4536.56
101,Sarah Phelps,ofinley@example.net,PS,2024-02-26,Standard,447.2
102,Lisa Young,wendy16@example.org,PS,2022-12-05,Premium,1464.54
103,Jill Benson,williamslaura@example.com,MK,2023-10-20,Standard,1149.76
104,Joseph Knight,georgemiller@example.com,VN,2022-04-01,Premium,3644.43
105,Mr. David Little MD,nolansteven@example.com,GD,2024-02-05,Basic,2923.44
106,Tony Huerta,danielle64@example.com,KI,2023-04-12,Premium,3944.64
107,John Young,bailey40@example.net,MY,2021-03-12,Standard,1033.01
108,Melissa Garner,lozanojulie@example.com,GT,2021-08-24,Premium,3329.02
109,Mark Oliver,courtneyberger@example.net,BB,2023-08-23,Standard,2175.54
110,Kevin Oconnor,browningmark@example.com,EC,2021-11-07,Standard,4332.8
111,Sherri Diaz,maria47@example.com,AE,2021-03-15,Premium,3399.49
112,Julie Jones,michelleramsey@example.com,TH,2025-03-22,Basic,582.25
113,Alexis Herrera,vrichardson@example.net,IN,2022-03-12,Standard,3668.25
114,Teresa Rodriguez,thomasharvey@example.net,LR,2023-07-04,Premium,1318.42
115,Arthur Colon,debra12@example.org,AZ,2025-06-28,Premium,2727.8
116,Brent Clay Jr.,vwatson@example.net,SR,2021-10-28,Premium,2167.22
117,Brittany Perry,basschristina@example.com,AU,2022-07-07,Standard,2366.88
118,Jeremy Young,cory58@example.net,MK,2024-02-21,Premium,2271.34
119,Walter Rush,ndavis@example.net,DZ,2020-05-12,Basic,579.75
120,Richard Sanchez,kristinharris@example.net,GE,2023-08-01,Basic,4996.48
121,Crystal Schroeder,ramireztracey@example.org,SR,2023-07-08,Premium,4848.08
122,Matthew Johnson,howardkristina@example.net,LI,2021-07-03,Premium,914.92
123,Cameron Fisher,reesethomas@example.com,SG,2020-02-04,Standard,2458.66
124,Daniel Gilbert,stephen00@example.com,MZ,2023-07-24,Standard,4521.97
125,Micheal Wallace,morriseddie@example.org,IS,2022-07-22,Premium,1956.97
126,Michelle James,shawn96@example.org,ME,2023-09-29,Standard,1399.49
127,Sherry Arnold,russellbeasley@example.com,LU,2020-09-07,Standard,1497.72
128,Nicholas Edwards,elizabeth52@example.net,PY,2024-12-17,Basic,4790.86
129,Anna Davis,lisa80@example.net,TJ,2020-05-27,Basic,3343.17
130,Jennifer Russo,uparrish@example.org,JO,2023-05-15,Standard,858.5
131,Kenneth Lewis,,TH,2023-08-08,Standard,1166.73
132,Laura Aguirre,lynchdiane@example.net,IQ,2022-03-16,Premium,2937.98
133,Phillip Dorsey,adam29@example.net,MZ,2020-03-04,Basic,398.69
134,Valerie Davis,nicholaschavez@example.org,MN,2020-06-01,Standard,380.11
135,Todd Carlson,moorekaren@example.org,GQ,2021-11-13,Basic,2436.26
136,Jeff Lawson,wnelson@example.net,CI,2020-06-27,Basic,871.42
137,Michael Watkins,brandon69@example.org,AF,2022-01-26,Basic,492.55
138,Pamela Duran,mark07@example.net,NR,2021-03-23,Premium,435.75
139,Michael Mason,charles06@example.org,PK,2021-01-19,Premium,3408.54
140,Laura Berry,zroberts@example.org,LR,2025-07-11,Premium,2078.5
141,Julia Norris,christopher13@example.com,TZ,2021-01-11,Basic,1306.46
142,Seth Reese,masonjackson@example.net,ZW,2022-05-27,Basic,294.73
143,Susan Bailey,joelthomas@example.org,EC,2020-09-06,Premium,2154.2
144,Mary Thompson,kmarshall@example.net,PE,2023-08-12,Basic,2869.61
145,Maria Downs,michelle52@example.com,BJ,2024-02-01,Standard,4680.06
146,Rebecca Vargas,william47@example.com,AZ,2026-09-25,Premium,3381.66
147,Angela Lin,gilbertwilliam@example.com,TT,2020-05-04,Standard,1269.56
148,Stephanie Cole,marcalvarez@example.org,BH,2023-04-29,Standard,741.3
149,Sara Haas,wagnergerald@example.org,KN,2022-09-14,Basic,1569.99
150,Joseph Moore,samantha66@example.com,GD,2022-08-17,Standard,4652.19
151,Maria Jones,grantpaul@example.com,RS,2023-08-02,Premium,145.65
152,Lindsey Hernandez,aguilardonald@example.com,KR,2025-02-08,Basic,4992.43
153,Jenna Larson,collinsnicholas@example.com,CN,2025-10-21,Premium,458.98
154,Nancy Jennings,lucasrodney@example.com,AM,2024-01-08,Premium,2578.84
155,Daniel Meza,ilee@example.org,BO,2022-03-05,Premium,4672.97
156,Katie Fernandez,stanleynancy@example.net,CO,2021-10-10,Premium,4408.42
157,Christopher Schwartz,jenniferwilliams@example.com,GD,2023-08-01,Standard,1496.44
158,Lisa Goodwin,pyoung@example.com,PW,2024-04-25,Standard,4185.35
159,Michael Hudson,smurray@example.com,SC,2025-06-03,Basic,1582.33
160,Ruth Solis,moniquewilliams@example.com,MR,2023-03-01,Basic,2691.81
161,Ryan Rosales,christopher24@example.com,SG,2023-04-29,Basic,4103.81
162,Travis Walker,bwilkerson@example.com,BF,2020-11-18,Standard,4665.6
163,James Miller,anthonygalvan@example.net,CF,2022-05-18,Premium,4700.76
164,Andrew Lowery,ihorton@example.net,PW,2022-01-04,Premium,1395.88
165,Bobby Scott,anaacosta@example.net,NO,2022-09-09,Premium,3737.84
166,Eric Williams,nfowler@example.com,BI,2020-08-31,Premium,1434.51
167,Linda Smith,jennifercarter@example.org,VE,2020-08-30,Basic,1132.09
168,Chelsea Barnett,carlos88@example.net,SD,2022-02-12,Standard,1097.63
169,John Reid,jon05@example.org,LY,2023-04-29,Basic,4279.27
170,Ashley Perkins,dennis58@example.com,BA,2021-06-12,Basic,2493.81
171,Julie Dominguez,lisabrown@example.com,AZ,2021-01-18,Premium,552.26
172,Curtis Williams,zachary87@example.com,AZ,2021-10-04,Standard,4163.81
173,Howard Norman,joshua56@example.com,CH,2024-07-08,Premium,117.37
174,Gina Lopez,zrichardson@example.net,IQ,2022-08-21,Premium,3221.86
175,Angela Morrison,amymorris@example.org,LR,2024-10-21,Standard,891.75
176,Lance Simmons,cbell@example.net,MH,2023-12-19,Standard,2803.23
177,Mark Moody,jonesdana@example.com,SG,2023-09-09,Standard,2848.44
178,Tiffany Thomas,ejohnson@example.org,KH,2024-10-21,Premium,468.69
179,Keith Jacobs,xrush@example.com,BO,2022-03-13,Basic,4529.25
180,Jennifer Banks,susanjohnson@example.org,SB,2023-06-11,Basic,276.54
181,Autumn Hampton,nlewis@example.com,MD,2023-02-08,Standard,2954.3
182,Bryan Farrell MD,zosborn@example.net,LB,2025-07-01,Premium,2205.95
183,Krista Roberts,melissa25@example.net,GR,2024-01-03,Premium,1610.47
184,Charles Tyler,wardashley@example.com,TG,2020-09-22,Premium,4504.73
185,Ana Sanders,xfox@example.com,TR,2020-10-11,Premium,3442.13
186,Maria Cole,david89@example.org,CO,2020-06-10,Basic,603.69
187,Amy Martinez,kevinmartin@example.net,GR,2022-08-05,Basic,4432.26
188,Stephanie Singleton,james84@example.org,YE,2022-01-28,Standard,4871.8
189,Kathryn Jackson,georgeweber@example.net,LU,2021-10-25,Basic,857.31
190,Samantha Johnson,frykelli@example.com,CF,2025-01-19,Premium,4336.57
191,Lisa Johnson,dawn47@example.org,LA,2021-04-06,Premium,4418.94
192,Michael Moore,nwashington@example.com,UZ,2022-06-08,Premium,978.87
193,Emma Travis,theresa25@example.net,TJ,2020-11-10,Standard,3933.69
194,Bryan Cole,colinroberts@example.com,VE,2020-08-20,Standard,4030.95
195,Stephanie Li,james27@example.net,PT,2022-07-05,Basic,4072.67
196,Alexander Landry,nlevy@example.net,MH,2022-12-28,Standard,880.07
197,Kyle Cameron,amitchell@example.org,NR,2020-04-16,Basic,629.67
198,Jacob Powell,moralesashley@example.org,ML,2020-10-20,Premium,4307.11
199,Jonathan Duran,marcia99@example.org,CN,2023-04-27,Premium,1077.91
200,Robert Morgan,kari39@example.net,MZ,2025-11-06,Standard,1813.33
201,Chad Cook,jstone@example.net,SG,2022-12-31,Premium,1192.33
202,Emily Long,brittney88@example.net,RW,2020-11-02,Basic,1046.34
203,Robert Richardson,whitneybrandy@example.net,FM,2024-04-01,Standard,1465.15
204,Deborah Rios,jennifersilva@example.org,SL,2023-10-10,Premium,4837.76
205,Sarah Hernandez,anthonyvaughan@example.org,ET,2023-10-10,Standard,1820.62
206,Christian Vaughn,nshaw@example.com,LK,2020-02-11,Basic,2058.42
207,Kelly Hoffman,ufox@example.org,PK,2024-05-12,Basic,1722.63
208,Hector Ingram,chelsea33@example.com,TH,2025-06-21,Premium,665.17
209,Vickie Wise,hannahburns@example.com,MG,2021-10-16,Standard,974.98
210,Mikayla Roberts,zhuang@example.com,CY,2023-05-13,Standard,287.46
211,Miguel Reed,vdouglas@example.com,GH,2021-09-28,Basic,2229.36
212,Taylor Horton,danielyang@example.org,HN,2021-03-18,Basic,3953.5
213,Courtney Hall,gutierrezjennifer@example.org,KZ,2020-04-21,Standard,3070.42
214,Joshua Hickman,edelgado@example.com,CF,2024-08-15,Basic,666.66
215,Erica Brewer,pearsonjesse@example.net,RS,2021-03-13,Basic,1031.39
216,Thomas Butler,sarahjohnson@example.com,SA,2025-02-06,Premium,3573.05
217,Shelia Roberts,smithashley@example.org,LT,2021-02-12,Premium,2647.61
218,Kimberly Snyder DVM,znelson@example.org,LS,2021-09-15,Basic,3465.6
219,David Lopez,krystal93@example.org,VA,2020-12-22,Basic,3711.48
220,Samantha Robertson,moralescody@example.org,QA,2025-02-18,Premium,1884.69
221,Dean Young,stephanie49@example.net,TO,2021-12-10,Premium,4749.48
222,Melissa Brown,marshallerik@example.net,SC,2020-01-26,Standard,3153.46
223,Patricia Vaughn,michael33@example.org,QA,2025-07-15,Basic,4255.27
224,Lisa Perry,ztodd@example.net,GM,2020-12-01,Basic,4510.23
225,Linda Cobb,xrice@example.org,TM,2024-07-27,Basic,1615.49
226,Stephanie Harris,franklinbond@example.com,CI,2020-09-02,Standard,1698.3
227,Katherine Nolan,dstokes@example.org,SG,2024-01-30,Basic,1548.71
228,Kristin Chambers,jennifer64@example.org,CH,2022-06-29,Premium,1040.02
229,Jeff Graves,michaelcesar@example.com,AU,2021-04-22,Basic,4707.78
230,Chad May,ybrooks@example.com,MT,2021-09-21,Basic,3765.86
231,Mary Ryan,david86@example.net,CN,2022-04-03,Premium,3116.02
232,Aaron Johnson,steven86@example.net,MU,2024-05-13,Standard,2089.77
233,Gregory Hill,johnsondonna@example.net,AM,2024-12-08,Premium,1588.99
234,Kirk Griffin,sanchezbradley@example.com,HT,2021-06-11,Premium,2206.45
235,Patty Taylor,jim95@example.net,US,2023-03-28,Basic,3072.64
236,Cynthia Walter,roberthill@example.net,UA,2024-08-19,Standard,2378.44
237,Lori Simmons,wwilliams@example.net,SV,2025-04-11,Standard,3410.57
238,Melissa Russell,nicholas87@example.org,GR,2022-04-15,Basic,2418.61
239,Renee Melendez,jfaulkner@example.net,CR,2021-10-20,Basic,931.49
240,Gary Miller,fboone@example.net,RS,2022-05-01,Premium,1490.55
241,James Jacobs,russojacob@example.net,RS,2024-12-22,Basic,3201.41
242,Daniel Meadows,susan03@example.org,SZ,2024-01-11,Standard,557.6
243,Mrs. Dana Munoz MD,andrearowe@example.com,PT,2020-09-14,Premium,3396.7
244,Dennis Hunt,zowens@example.net,PW,2023-03-15,Premium,4052.16
245,Dale Edwards,hartjeffrey@example.org,AM,2024-07-26,Premium,219.68
246,Lauren Butler,jameshall@example.net,HN,2021-07-25,Premium,4921.29
247,Melinda Scott,plevy@example.net,RW,2022-12-29,Basic,4263.71
248,Heather Taylor,iwhite@example.net,BH,2022-10-06,Premium,2331.54
249,Angela Meyers,duranrobert@example.net,HT,2023-02-21,Basic,2920.79
250,Daniel Bryant,williamsonelizabeth@example.net,RO,2020-05-28,Basic,3512.14
251,Joseph Jenkins,morenojoshua@example.com,AM,2023-12-15,Standard,2058.3
252,Jessica Case,danieldavis@example.org,GY,2023-01-05,Premium,3314.68
253,Robin Adams,zmiller@example.com,TM,2021-02-24,Premium,4474.03
254,Elizabeth Clayton,valdezmichele@example.org,BW,2021-06-16,Premium,3914.26
255,John Walsh,christopherbruce@example.net,LS,2022-06-06,Premium,961.84
256,Anna Rice,hallrachel@example.net,TN,2023-05-24,Basic,2637.99
257,Benjamin Frost,whitemelissa@example.org,GE,2022-11-07,Premium,2831.29
258,Michelle Sanders,evansanne@example.net,MW,2023-07-10,Premium,2336.66
259,Janet Singh,masonterri@example.org,BZ,2024-01-23,Standard,3371.13
260,Gina Mack,unovak@example.org,ZW,2022-08-15,Basic,3017.72
261,Katherine Kelly DVM,llopez@example.net,MU,2021-08-21,Standard,3102.0
262,Rebecca Marquez,adamsnorman@example.net,DE,2020-07-06,Basic,4470.9
263,Brian Smith,sean41@example.org,BT,2024-06-08,Standard,4169.79
264,Justin Russell,davisangela@example.net,US,2021-02-14,Basic,2284.98
265,Alexandria Gutierrez,hardyanita@example.org,TO,2024-09-14,Premium,3743.91
266,Caroline Adams,trevor12@example.com,IS,2023-02-15,Standard,2305.34
267,Mr. David Wright,mwheeler@example.com,CD,2022-07-11,Premium,4215.33
268,James Skinner,vbrock@example.com,LT,2020-10-23,Standard,3852.49
269,Marilyn Wheeler,malik37@example.com,EE,2022-08-01,Basic,2474.53
270,Doris Neal,yfaulkner@example.org,LR,2025-10-14,Premium,1445.53
271,Jenna Wilson,brittanygardner@example.net,SY,2022-04-03,Premium,3596.37
272,Terri Clark,marie16@example.net,SB,2020-02-28,Premium,1431.4
273,David Moore,emccormick@example.com,US,2020-10-31,Standard,4475.83
274,Jonathon Knapp,ystephens@example.com,ME,2022-11-16,Premium,778.03
275,Margaret Miller,dianekelly@example.net,VA,2025-05-16,Premium,1976.87
276,Miss Jennifer Goodwin,grodriguez@example.com,GN,2020-04-07,Premium,3561.45
277,Lauren Johnston,dbrooks@example.net,TZ,2023-01-23,Premium,2132.85
278,Zachary Webb,robert11@example.net,CV,2024-02-21,Standard,2758.79
279,Richard Boyd,thomas77@example.com,BJ,2022-02-02,Standard,405.1
280,Ashley Sweeney,byrdfrank@example.net,HN,2021-10-19,Standard,2008.44
281,Erin Simmons,zhall@example.net,ER,2023-02-04,Basic,4735.7
282,Jennifer Mclaughlin,shannonjordan@example.org,MA,2021-02-12,Premium,4297.99
283,Michael Flynn,lloydamanda@example.com,LR,2021-04-15,Basic,1963.87
284,Michael Burns,candice96@example.net,CI,2021-03-07,Premium,4719.43
285,Lisa Cervantes,samantha91@example.net,CR,2022-02-01,Standard,3792.03
286,Bruce Brooks,williambarnes@example.org,TR,2021-11-17,Standard,2737.28
287,Mark Steele,angelaburns@example.org,ER,2022-04-20,Basic,2776.05
288,Anthony Howard,washingtonjames@example.com,TJ,2021-11-20,Basic,4499.28
289,Michael Perry PhD,kjackson@example.org,PS,2023-01-12,Standard,1175.17
290,Danny Roberts,xcunningham@example.com,SY,2021-04-28,Standard,2479.65
291,Debra Daniels,amber07@example.net,GM,2023-01-24,Standard,1747.03
292,Ronald Potter,nancy07@example.com,MG,2025-12-08,Basic,4010.9
293,Sean Wilson,jasonrojas@example.net,MG,2025-03-04,Basic,908.72
294,Jessica Jensen,lisatrujillo@example.net,MG,2025-03-01,Standard,4605.75
295,Caroline Werner,keith48@example.net,BY,2023-03-12,Basic,2717.21
296,Jennifer Brown,michelle22@example.org,CY,2020-10-24,Standard,3000.27
297,Pam Lowe,othomas@example.com,YE,2024-04-07,Basic,232.8
298,Mark Beard,powellkara@example.net,MN,2022-06-26,Basic,2200.2
299,Kevin Melton PhD,simonstephen@example.net,MC,2022-09-23,Standard,990.47
300,Joseph Robinson,fsummers@example.com,LI,2022-02-23,Standard,1957.61
301,Kenneth Knight,rkramer@example.org,BD,2024-12-19,Premium,2328.03
302,Julia Martinez,scottsmith@example.com,FR,2020-08-06,Standard,3830.03
303,Sonia Turner,clarence54@example.org,MR,2025-12-21,Standard,1463.46
304,Amber Garrett,rubendavis@example.org,AD,2026-09-25,Standard,1336.13
305,Kevin Stone,ssmith@example.com,CL,2021-04-12,Premium,2404.5
306,Carlos Jones,zdavis@example.org,CA,2025-12-05,Basic,2743.15
307,Breanna Ayala,darlenebyrd@example.org,SM,2021-11-17,Standard,1198.69
308,Carly Bell,courtneyhernandez@example.com,VE,2023-05-19,Premium,3928.04
309,Angelica Garcia,lawrencepatrick@example.com,KW,2024-02-13,Basic,297.26
310,Matthew Wright,kimberly04@example.org,SI,2024-09-29,Premium,4753.1
311,James Lucas,troyrodriguez@example.com,DZ,2023-08-22,Premium,4212.22
312,Vanessa Hatfield,david96@example.com,ST,2023-07-25,Basic,846.67
313,Tiffany Townsend,matthewsalexander@example.org,BB,2024-02-05,Premium,2420.45
314,Jennifer Mitchell,zhenderson@example.org,DZ,2025-07-14,Premium,2863.45
315,Diamond Collins,terrimoore@example.com,MX,2023-03-21,Premium,2378.67
316,Marie Day,holly30@example.org,BT,2023-07-08,Standard,3857.8
317,Logan Brown,davidzimmerman@example.net,AG,2025-07-18,Premium,3068.87
318,Kelly Logan,gary24@example.net,CL,2020-12-24,Basic,3619.95
319,Robert Nelson,bakertheresa@example.net,BO,2024-08-17,Premium,4827.13
320,Amy Villarreal,michaelscott@example.org,TO,2022-12-23,Premium,2935.56
321,Patrick Smith,sanchezthomas@example.com,CZ,2024-01-16,Standard,2921.4
322,Amanda Pratt,pwalker@example.com,WS,2021-01-27,Standard,2043.61
323,Laura Wilson,whitelinda@example.org,MZ,2021-12-01,Basic,1071.82
324,Douglas Kirk,christopher70@example.com,FR,2020-05-31,Basic,3484.01
325,Nancy Sanchez,brittany73@example.net,ST,2021-09-30,Basic,1289.96
326,Aaron Ortiz,amberfields@example.net,AG,2024-07-24,Basic,3885.16
327,Matthew Sweeney,dalton83@example.com,RW,2025-09-14,Basic,3042.02
328,Brenda Ramirez,morsephyllis@example.net,NG,2025-10-06,Premium,4001.51
329,William Miller,wagnerdana@example.com,BO,2024-03-15,Basic,3934.91
330,Matthew Anderson,jose56@example.net,LK,2023-07-20,Standard,2710.45
331,David Harding,kimberlyrichards@example.org,CD,2021-12-15,Basic,1915.8
332,Jason Herrera,shannonford@example.org,BW,2020-12-26,Basic,3272.96
333,Samantha Terry,lewismelissa@example.org,BW,2020-12-11,Premium,4262.92
334,Jennifer Williams,jorge20@example.com,PG,2024-04-07,Standard,617.14
335,Anna Garcia,davidbrown@example.org,CO,2023-05-03,Standard,3214.37
336,Michael Pace,aguilarjonathan@example.org,AO,2021-03-10,Standard,3565.81
337,Matthew Lamb,steinmaria@example.com,CM,2025-12-24,Standard,963.07
338,Christopher Berry,ycrawford@example.net,NP,2020-04-03,Basic,4830.82
339,Cody Ramirez,austinharvey@example.org,KH,2021-01-13,Standard,3117.97
340,Juan Brown,patrick63@example.net,SL,2021-10-08,Basic,3895.74
341,Kimberly Smith MD,timothy75@example.net,SC,2021-06-29,Standard,2234.32
342,Alexander Harper,huangkimberly@example.org,PW,2021-12-05,Basic,3003.13
343,Yvonne Dickson,wrightjohn@example.net,LK,2023-03-05,Standard,4273.39
344,Colleen Bradford PhD,savannah22@example.org,UA,2020-05-02,Premium,1466.75
345,Heather Vargas,stacey92@example.net,ET,2021-11-27,Standard,1294.93
346,Tracy Weaver,tracydavis@example.org,UY,2025-01-07,Standard,2892.26
347,April Hardin,lindsaypeterson@example.org,LI,2021-04-24,Basic,1957.05
348,Michael Thomas,mathismichelle@example.org,MR,2020-05-10,Premium,2522.1
349,Laurie Rogers,derek26@example.net,RU,2024-03-23,Standard,991.02
350,Wayne Steele,jeffrey92@example.com,KP,2023-11-23,Premium,1838.64
351,Christopher Smith,xrosales@example.net,AU,2024-05-27,Standard,1767.66
352,Robert Carr,zunigadonald@example.net,BO,2021-02-02,Basic,3535.8
353,Mrs. Stacey Davis,sean43@example.org,MD,2021-06-05,Standard,2823.38
354,Brian Smith,akim@example.org,NG,2020-05-28,Basic,4745.51
355,Joshua Garcia,kkramer@example.net,PS,2022-12-16,Premium,1282.64
356,Benjamin Singleton,andrew41@example.org,LV,2024-02-14,Standard,2494.03
357,Nicholas Payne,morgantricia@example.com,MA,2021-01-07,Premium,3483.99
